n_windows,window,tau,activation
25,15,-2.33051775377411,-1.67507466990179
25,16,-2.33051775377411,-1.66239269739316
25,17,-2.33051775377411,-1.80188227951987
25,18,-2.33051775377411,-1.91626806153273
25,19,-2.33051775377411,-2.14765536404477
25,20,-2.33051775377411,-2.22397114644473
25,21,-2.33051775377411,-2.34906481597728
25,22,-2.33051775377411,-2.3223208488863
25,23,-2.33051775377411,-2.41687410252237
25,24,-2.33051775377411,-2.63358565555924
25,25,-2.33051775377411,-2.52249720521771
50,1,-2.33051775377411,-1.35756267926687
50,3,-2.33051775377411,-1.28514720627571
50,4,-2.33051775377411,-1.35626566168011
50,5,-2.33051775377411,-1.3644784188337
50,6,-2.33051775377411,-1.10934423608962
50,7,-2.33051775377411,-1.27452068296225
50,8,-2.33051775377411,-1.21131432012279
50,9,-2.33051775377411,-1.0610308182463
50,10,-2.33051775377411,-1.237076149001
50,11,-2.33051775377411,-1.23686829205863
50,12,-2.33051775377411,-1.28884766354523
50,13,-2.33051775377411,-1.28934560390565
50,14,-2.33051775377411,-1.37772044784087
50,15,-2.33051775377411,-1.41524500664272
50,16,-2.33051775377411,-1.39019837442507
50,17,-2.33051775377411,-1.47814371167743
50,18,-2.33051775377411,-1.28377110723655
50,19,-2.33051775377411,-1.45239136338854
50,20,-2.33051775377411,-1.3981254516537
50,21,-2.33051775377411,-1.56816941178461
50,22,-2.33051775377411,-1.44398408566615
50,23,-2.33051775377411,-1.73301568660359
50,24,-2.33051775377411,-1.59182865856361
50,25,-2.33051775377411,-1.86195534438669
50,26,-2.33051775377411,-1.67442455929139
50,27,-2.33051775377411,-1.84440237989711
50,28,-2.33051775377411,-1.8754747762814
50,29,-2.33051775377411,-1.8037718270818
50,30,-2.33051775377411,-1.58688261454418
50,31,-2.33051775377411,-1.66012639625582
50,32,-2.33051775377411,-1.66342069027069
50,33,-2.33051775377411,-1.75455408005753
50,34,-2.33051775377411,-1.85959585062585
50,35,-2.33051775377411,-1.88023530899061
50,36,-2.33051775377411,-1.92833134593943
50,37,-2.33051775377411,-2.09616740504145
50,38,-2.33051775377411,-2.19319900654073
50,39,-2.33051775377411,-2.19786286818323
50,40,-2.33051775377411,-2.2484059975338
50,41,-2.33051775377411,-2.27632463549074
50,42,-2.33051775377411,-2.40819297373766
50,43,-2.33051775377411,-2.34312346344736
50,44,-2.33051775377411,-2.28360837616668
50,45,-2.33051775377411,-2.28907392387182
50,46,-2.33051775377411,-2.64677903314583
50,47,-2.33051775377411,-2.79692777068574
50,48,-2.33051775377411,-2.48466843360136
50,49,-2.33051775377411,-2.52947670501049
50,50,-2.33051775377411,-2.38940927159552
100,1,-2.33051775377411,-1.35756267926687
100,5,-2.33051775377411,-1.20010991371523
100,6,-2.33051775377411,-1.35111097685909
100,7,-2.33051775377411,-1.32545288301301
100,8,-2.33051775377411,-1.39036132049134
100,9,-2.33051775377411,-1.43156108637293
100,10,-2.33051775377411,-1.30089833705853
100,11,-2.33051775377411,-1.23848451402968
100,12,-2.33051775377411,-0.979063353017529
100,13,-2.33051775377411,-1.38614188616919
100,14,-2.33051775377411,-1.17301394727782
100,15,-2.33051775377411,-1.18217506834069
100,16,-2.33051775377411,-1.23749212229372
100,17,-2.33051775377411,-0.991531380868672
100,18,-2.33051775377411,-1.12033368944897
100,19,-2.33051775377411,-1.15300196959082
100,20,-2.33051775377411,-1.33026061233195
100,21,-2.33051775377411,-1.32173468495625
100,22,-2.33051775377411,-1.14773780769641
100,23,-2.33051775377411,-1.29079698368301
100,24,-2.33051775377411,-1.28561559036467
100,25,-2.33051775377411,-1.06433116026178
100,26,-2.33051775377411,-1.41358227648528
100,27,-2.33051775377411,-1.36825827424719
100,28,-2.33051775377411,-1.39078522895245
100,29,-2.33051775377411,-1.27988746046098
100,30,-2.33051775377411,-1.48249156321987
100,31,-2.33051775377411,-1.41137801134295
100,32,-2.33051775377411,-1.3665719320091
100,33,-2.33051775377411,-1.56208414397448
100,34,-2.33051775377411,-1.41757151597553
100,35,-2.33051775377411,-1.38541798275638
100,36,-2.33051775377411,-1.18340933211235
100,37,-2.33051775377411,-1.49924388492562
100,38,-2.33051775377411,-1.4076044085254
100,39,-2.33051775377411,-1.46913445490357
100,40,-2.33051775377411,-1.24694419751781
100,41,-2.33051775377411,-1.5022254083489
100,42,-2.33051775377411,-1.63027825571826
100,43,-2.33051775377411,-1.41556213617811
100,44,-2.33051775377411,-1.48194600962099
100,45,-2.33051775377411,-1.70104028440313
100,46,-2.33051775377411,-1.75657608493799
100,47,-2.33051775377411,-1.66726453240396
100,48,-2.33051775377411,-1.50431577961609
100,49,-2.33051775377411,-1.72329570167844
100,50,-2.33051775377411,-2.0544834626241
100,51,-2.33051775377411,-1.70559612457882
100,52,-2.33051775377411,-1.64035565670754
100,53,-2.33051775377411,-1.75479036875418
100,54,-2.33051775377411,-2.00959081068796
100,55,-2.33051775377411,-1.94658239039644
100,56,-2.33051775377411,-1.78550348128725
100,57,-2.33051775377411,-1.78573652720151
100,58,-2.33051775377411,-1.82618572777293
100,59,-2.33051775377411,-1.56582015139383
100,60,-2.33051775377411,-1.59734921937742
100,61,-2.33051775377411,-1.6904655967248
100,62,-2.33051775377411,-1.6228768047776
100,63,-2.33051775377411,-1.62438283001258
100,64,-2.33051775377411,-1.69594331513159
100,65,-2.33051775377411,-1.79036518316374
100,66,-2.33051775377411,-1.74240237741023
100,67,-2.33051775377411,-1.8334872546648
100,68,-2.33051775377411,-1.93282885217004
100,69,-2.33051775377411,-1.85682709430316
100,70,-2.33051775377411,-1.93235204537689
100,71,-2.33051775377411,-1.98832375353916
100,72,-2.33051775377411,-1.89355558602357
100,73,-2.33051775377411,-2.03083969548169
100,74,-2.33051775377411,-2.22331281851949
100,75,-2.33051775377411,-2.23589675413334
100,76,-2.33051775377411,-2.17421027670179
100,77,-2.33051775377411,-2.16925974121041
100,78,-2.33051775377411,-2.21748470149439
100,79,-2.33051775377411,-2.29266184290659
100,80,-2.33051775377411,-2.21258270164511
100,81,-2.33051775377411,-2.35933231019239
100,82,-2.33051775377411,-2.22361890973619
100,83,-2.33051775377411,-2.3985122538322
100,84,-2.33051775377411,-2.43129421286055
100,85,-2.33051775377411,-2.29346376769753
100,86,-2.33051775377411,-2.3687529357697
100,87,-2.33051775377411,-2.36949852450858
100,88,-2.33051775377411,-2.24652188823341
100,89,-2.33051775377411,-2.28571167443028
100,90,-2.33051775377411,-2.29128194605377
100,91,-2.33051775377411,-2.61032564774182
100,92,-2.33051775377411,-2.69463700395955
100,93,-2.33051775377411,-2.84856371961603
100,94,-2.33051775377411,-2.74864176587389
100,95,-2.33051775377411,-2.60378960695814
100,96,-2.33051775377411,-2.42167853203278
100,97,-2.33051775377411,-2.51939900655352
100,98,-2.33051775377411,-2.6294362541519
100,99,-2.33051775377411,-2.33051775377411
100,100,-2.33051775377411,-13.6135520154203
