window,start,end,geom_mean,n_windows,window_type,window_id,subset,fold,sub_label,tau,d,h
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,4,-4.70625683429875,0.370902015797368,0.0603916287208587
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,5,-4.99487631124159,0.337160163915844,0.0177478639940643
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,8,-4.10524534005794,0.404793980465354,0.111044997233972
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,6,-4.72549291399281,0.359374607253451,0.035340410279763
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,7,-4.45320012273396,0.381913501804034,0.0628124405951241
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,14,-3.66110792754193,0.448730820175458,0.304849810336179
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,12,-3.60860315667608,0.455184123728835,0.36644961185744
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,10,-3.92415591567273,0.422478032409667,0.168015535536495
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,9,-4.10285797949386,0.410386534518583,0.12527498018759
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,11,-3.86437725983574,0.432898631143361,0.21663829920304
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,13,-3.57220290530553,0.460494788285621,0.417062775297248
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,18,-3.83584157206929,0.449446086939911,0.319625205370508
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,16,-3.30139976424534,0.480462746550872,0.640984753037291
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,15,-3.42545859055999,0.467380681022438,0.477206112261883
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,21+,-2.84119008080651,0.532903697913752,1
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,19,-3.23621336593783,0.490225786015698,0.804581930383345
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,20,-3.58859806833338,0.478359771970286,0.610466868804058
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_practice,1,17,-3.21672100626611,0.485144060314432,0.71138702151379
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,4,-3.40229080154358,0.48833376871724,0.764668702358879
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,5,-3.58040403953852,0.446770416819749,0.151419843029314
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,8,-2.83039894399508,0.553859526736461,1
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,6,-3.4512245625756,0.470671820682333,0.364917281773861
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,7,-3.1781443992225,0.509856849510392,1
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,14,-2.38788367923408,0.621191556673317,1
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,12,-2.39103228332774,0.604830422031096,1
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,10,-2.85685839464171,0.548827813879298,1
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,9,-2.78851586964319,0.557667028060276,1
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,11,-2.90084274133249,0.554902295327164,1
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,by_practice,1,13,-2.45261617069412,0.604496780594221,1
