window,start,end,geom_mean,n_windows,window_type,window_id,subset,fold,sub_label,tau,d,h
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-001,-5.64406775591727,0.299043700512709,0.00449662748819741
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-009,-4.70123451325603,0.363105338286114,0.0260393601387577
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-010,-4.71756450849585,0.361135319201202,0.0126984892922351
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-011,-3.56255763154942,0.437568015883013,0.245851955392636
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-013,-3.58850707639461,0.564513374258985,1
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-015,-3.28831770595568,0.484667433975779,0.650369285714235
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-017,-4.82941552955711,0.362764161755995,0.0335356937849333
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-018,-4.21405884757218,0.404870890672727,0.122797108008718
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-019,-4.92651108097244,0.346249311787637,0.0175157639871282
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-020,-5.40700010702514,0.292111609443562,3.94430452610506e-31
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-027,-3.72025497618122,0.462992364514583,3.94430452610506e-31
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-030,1351079682672380,0.316207723588234,0.00378077000700681
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-035,-4.52651606970228,0.369609967494055,0.0477690300842049
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-036,-4.76389350297984,0.365514561629333,0.0388271332863658
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-038,-4.3896502833647,0.424272348196492,0.162900544329635
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-042,-3.16613161877865,0.520989940988923,1
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-043,-5.09107863109705,0.394750621920925,0.0542717156272555
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-045,-2.41449846309206,0.63444470954,1
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-049,-4.00961591849105,0.402459185727863,0.11118388032502
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,by_learner,1,17_18_EN_anon-050,-4.52524724067655,0.370557738301915,0.0605308939076148
