window,start,end,geom_mean,n_windows,window_type,window_id,subset,fold,sub_label,tau,d,h
11,13371.3069999218,23490.6749999523,17722.8955608205,20,regular,29,all,2,,-3.93634599229873,0.402572701332954,0.116606970883308
12,24164.364000082,42791.6510000229,32156.38398404,20,regular,30,all,2,,-4.35308235268469,0.370292506680968,0.0494079845771151
13,42824.5380001068,76709.8499999046,57315.4768479109,20,regular,31,all,2,,-4.61502333906022,0.354048365334683,0.03015273125368
14,76959.0260000229,137553.312999964,102888.138245152,20,regular,32,all,2,,-4.73273284975726,0.342069370649357,0.0230917912329802
15,138609.907999992,247039.671000004,185046.334926307,20,regular,33,all,2,,-4.78607180569174,0.348416581967629,0.021742397976348
16,247494.954999924,441248.032000065,330464.312481183,20,regular,34,all,2,,-4.83038270288747,0.35073661639836,0.0199315842422841
17,444687.072000027,792104.104000092,593496.802625765,20,regular,35,all,2,,-5.0265682099813,0.342822389917554,0.0135141067082131
18,808071.109999895,1410000.22900009,1067417.65497307,20,regular,36,all,2,,-5.27451768637895,0.329827264018168,0.0078250585325463
19,1458368.50699997,2566018.70299983,1934476.89694859,20,regular,37,all,2,,-5.14000979657976,0.336315553196032,0.00890501265076854
20,2573482.61699986,4605678.9519999,3442765.56309806,20,regular,38,all,2,,-5.65117059962858,0.310142479853413,0.00333451922326109
1,38.3629999160767,600,151.716182227362,1,short,39,all,2,,-2.91776512848114,0.51771685426597,1
1,84600,88200,86381.2479650532,1,24h,40,all,2,,-4.74382739297096,0.344846331771617,0.0226939945450581
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,all,3,,-4.61471716916824,0.377826718492186,0.0552889880268765
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,all,3,,-3.35978110012367,0.489014929170519,0.729963544528709
2,13371.3069999218,4605678.9519999,248161.131546157,2,regular,3,all,3,,-4.78713396260081,0.357191846443542,0.029817075818851
1,38.3629999160767,395.178999900818,123.126974867534,5,regular,4,all,3,,-2.85439738841166,0.529608339390403,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,all,3,,-3.34375517559731,0.463116539509821,0.422976292175513
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,all,3,,-3.98042071136528,0.405202581184031,0.130678321523027
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,all,3,,-4.75927629490848,0.352066637165929,0.0266665886847296
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,all,3,,-5.17289009843331,0.335800372808758,0.0110002074698845
1,38.3629999160767,121.253999948502,68.2031318184755,10,regular,9,all,3,,-2.7074730690828,0.558028290846559,1
2,123.598999977112,395.178999900818,221.00617457369,10,regular,10,all,3,,-2.9644368357152,0.509152191225398,1
3,398.260999917984,1281.28500008583,714.342946569851,10,regular,11,all,3,,-3.1756489688288,0.474283103479097,0.550602640196232
4,1285.92199993134,4117.75299978256,2301.11042166682,10,regular,12,all,3,,-3.47313281932383,0.443193254910631,0.259133584754536
5,4159.79800009727,13238.1209998131,7420.77551608107,10,regular,13,all,3,,-3.72500737329846,0.423299759245888,0.189743590858042
6,13371.3069999218,42791.6510000229,23920.2906034776,10,regular,14,all,3,,-4.1423203979814,0.387233258089939,0.0801068110203486
7,42824.5380001068,137553.312999964,76750.6161513218,10,regular,15,all,3,,-4.6954625630635,0.348749540405472,0.026099631418649
8,138609.907999992,441248.032000065,247308.206739499,10,regular,16,all,3,,-4.81643722853624,0.349421648793758,0.0220598252095285
9,444687.072000027,1410000.22900009,791838.91881709,10,regular,17,all,3,,-5.09060338370558,0.335972437292509,0.0113668791288389
10,1458368.50699997,4605678.9519999,2591674.58160728,10,regular,18,all,3,,-5.54763965415292,0.315428584295798,0.00412485838611123
1,38.3629999160767,68.6730000972748,51.3274029828949,20,regular,19,all,3,,-2.85569465666411,0.543821881568622,1
2,68.949000120163,121.253999948502,91.4349061191595,20,regular,20,all,3,,-2.68000326244649,0.56029153217607,1
3,123.598999977112,220.978999853134,165.265796212615,20,regular,21,all,3,,-2.95382376985782,0.515419784540369,1
4,224.68799996376,395.178999900818,297.979830047931,20,regular,22,all,3,,-2.97247689669997,0.502832182308017,1
5,398.260999917984,713.151999950409,532.935857860737,20,regular,23,all,3,,-3.15048207209267,0.47521855028087,0.549340900647806
6,719.106000185013,1281.28500008583,959.885269971769,20,regular,24,all,3,,-3.19281012703761,0.470685086289439,0.533901267623509
7,1285.92199993134,2299.80999994278,1719.70237965426,20,regular,25,all,3,,-3.30762474631983,0.461016851016823,0.39772816195087
8,2304.1139998436,4117.75299978256,3080.22277355015,20,regular,26,all,3,,-3.6142768059253,0.424497749730322,0.162859646219313
9,4159.79800009727,7391.78800010681,5545.11901946093,20,regular,27,all,3,,-3.72022772935782,0.416820555519755,0.168346485162154
10,7453.84100008011,13238.1209998131,9933.52148396672,20,regular,28,all,3,,-3.72834200359029,0.419241925778337,0.185677063036297
11,13371.3069999218,23490.6749999523,17722.8955608205,20,regular,29,all,3,,-3.9522124351063,0.400436228170842,0.109755236955818
12,24164.364000082,42791.6510000229,32156.38398404,20,regular,30,all,3,,-4.37897754078886,0.368366671445193,0.0488718824333612
13,42824.5380001068,76709.8499999046,57315.4768479109,20,regular,31,all,3,,-4.64082477449545,0.349476624259519,0.0281605845915726
14,76959.0260000229,137553.312999964,102888.138245152,20,regular,32,all,3,,-4.72279843525182,0.343057285876245,0.0236427515526555
15,138609.907999992,247039.671000004,185046.334926307,20,regular,33,all,3,,-4.79963038001776,0.347192983783225,0.0210277555155588
16,247494.954999924,441248.032000065,330464.312481183,20,regular,34,all,3,,-4.83588251710715,0.350625389507038,0.0200626044649464
17,444687.072000027,792104.104000092,593496.802625765,20,regular,35,all,3,,-4.99194866423998,0.344898898650837,0.0143980669684594
18,808071.109999895,1410000.22900009,1067417.65497307,20,regular,36,all,3,,-5.30518001296322,0.325188116666445,0.00709192972088698
19,1458368.50699997,2566018.70299983,1934476.89694859,20,regular,37,all,3,,-5.13860811408489,0.336786350331626,0.0089346355004221
20,2573482.61699986,4605678.9519999,3442765.56309806,20,regular,38,all,3,,-5.75779263797767,0.305732704403016,0.002921978763457
1,38.3629999160767,600,151.716182227362,1,short,39,all,3,,-2.89789204798554,0.5212364122792,1
1,84600,88200,86381.2479650532,1,24h,40,all,3,,-4.71594439900211,0.339277308573665,0.0234071247987244
1,38.3629999160767,4605678.9519999,13292.3911035242,1,regular,1,all,4,,-4.6070211381959,0.37814708564909,0.0560507348635802
1,38.3629999160767,13238.1209998131,712.638782838012,2,regular,2,all,4,,-3.35040117291984,0.490589494779289,0.776009526183218
2,13371.3069999218,4605678.9519999,248161.131546157,2,regular,3,all,4,,-4.78085930836673,0.357527530438334,0.0300772413750981
1,38.3629999160767,395.178999900818,123.126974867534,5,regular,4,all,4,,-2.84803286472832,0.530962190723592,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,all,4,,-3.32377187501217,0.466395023439676,0.464221606843993
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,all,4,,-3.96417582354681,0.406097093345351,0.133796342561848
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,all,4,,-4.75154718731761,0.352589283349765,0.0270389687261453
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,all,4,,-5.18688901157133,0.335233273527288,0.0107330388780525
1,38.3629999160767,121.253999948502,68.2031318184755,10,regular,9,all,4,,-2.71347183163616,0.555623147161564,1
2,123.598999977112,395.178999900818,221.00617457369,10,regular,10,all,4,,-2.945519924823,0.512988029305261,1
3,398.260999917984,1281.28500008583,714.342946569851,10,regular,11,all,4,,-3.13010900192029,0.481630544138541,0.679033287227108
4,1285.92199993134,4117.75299978256,2301.11042166682,10,regular,12,all,4,,-3.47714895415562,0.44405332286424,0.267786979849322
5,4159.79800009727,13238.1209998131,7420.77551608107,10,regular,13,all,4,,-3.72615075405893,0.422529937073981,0.185077903115883
6,13371.3069999218,42791.6510000229,23920.2906034776,10,regular,14,all,4,,-4.11490582550492,0.389820427970883,0.0851753533784329
7,42824.5380001068,137553.312999964,76750.6161513218,10,regular,15,all,4,,-4.69180415936682,0.348953198191482,0.0262697651117516
8,138609.907999992,441248.032000065,247308.206739499,10,regular,16,all,4,,-4.80498415535276,0.35025340366426,0.0225475560022909
9,444687.072000027,1410000.22900009,791838.91881709,10,regular,17,all,4,,-5.09488881922104,0.335870461656905,0.0113152516678973
10,1458368.50699997,4605678.9519999,2591674.58160728,10,regular,18,all,4,,-5.59600989522366,0.313818473955501,0.00388340956704725
1,38.3629999160767,68.6730000972748,51.3274029828949,20,regular,19,all,4,,-2.81724945566279,0.546402888118493,1
